BIRTH_YEAR,COUNTY_ORIGIN,BIRTH_MONTH,CALF_BREED_TYPE,TOTAL_BIRTH
2016,ROSCOMMON,APR,DAIRY,281
2016,ROSCOMMON,AUG,BEEF,2244
2016,ROSCOMMON,AUG,DAIRY,36
2016,ROSCOMMON,DEC,BEEF,1265
2016,ROSCOMMON,DEC,DAIRY,57
2016,ROSCOMMON,FEB,BEEF,4200
2016,ROSCOMMON,FEB,DAIRY,1080
2016,ROSCOMMON,JAN,BEEF,3427
2016,ROSCOMMON,JAN,DAIRY,259
2016,ROSCOMMON,JUL,BEEF,2897
2016,ROSCOMMON,JUL,DAIRY,54
2016,ROSCOMMON,JUN,BEEF,4965
2016,ROSCOMMON,JUN,DAIRY,65
2016,ROSCOMMON,MAR,BEEF,8855
2016,ROSCOMMON,MAR,DAIRY,778
2016,ROSCOMMON,MAY,BEEF,9315
2016,ROSCOMMON,MAY,DAIRY,136
2016,ROSCOMMON,NOV,BEEF,1451
2016,ROSCOMMON,NOV,DAIRY,56
2016,ROSCOMMON,OCT,BEEF,1669
2016,ROSCOMMON,OCT,DAIRY,37
2016,ROSCOMMON,SEP,BEEF,1764
2016,ROSCOMMON,SEP,DAIRY,31
2016,SLIGO,APR,BEEF,7747
2016,SLIGO,APR,DAIRY,479
2016,SLIGO,AUG,BEEF,1012
2016,SLIGO,AUG,DAIRY,14
2016,SLIGO,DEC,BEEF,1110
2016,SLIGO,DEC,DAIRY,150
2016,SLIGO,FEB,BEEF,3196
2016,SLIGO,FEB,DAIRY,1609
2016,SLIGO,JAN,BEEF,2323
2016,SLIGO,JAN,DAIRY,391
2016,SLIGO,JUL,BEEF,1296
2016,SLIGO,JUL,DAIRY,36
2016,SLIGO,JUN,BEEF,2220
2016,SLIGO,JUN,DAIRY,75
2016,SLIGO,MAR,BEEF,6233
2016,SLIGO,MAR,DAIRY,924
2016,SLIGO,MAY,BEEF,5367
2016,SLIGO,MAY,DAIRY,225
2016,SLIGO,NOV,BEEF,1178
2016,SLIGO,NOV,DAIRY,143
2016,SLIGO,OCT,BEEF,1132
2016,SLIGO,OCT,DAIRY,165
2016,SLIGO,SEP,BEEF,1153
2016,SLIGO,SEP,DAIRY,23
2016,TIPPERARY,APR,BEEF,22156
2016,TIPPERARY,APR,DAIRY,4898
2016,TIPPERARY,AUG,BEEF,3411
2016,TIPPERARY,AUG,DAIRY,349
2016,TIPPERARY,DEC,BEEF,1873
2016,TIPPERARY,DEC,DAIRY,409
2016,TIPPERARY,FEB,BEEF,23720
2016,TIPPERARY,FEB,DAIRY,47847
2016,TIPPERARY,JAN,BEEF,6369
2016,TIPPERARY,JAN,DAIRY,12005
2016,TIPPERARY,JUL,BEEF,3823
2016,TIPPERARY,JUL,DAIRY,453
2016,TIPPERARY,JUN,BEEF,5591
2016,TIPPERARY,JUN,DAIRY,839
2016,TIPPERARY,MAR,BEEF,30571
2016,TIPPERARY,MAR,DAIRY,17392
2016,TIPPERARY,MAY,BEEF,11902
2016,TIPPERARY,MAY,DAIRY,2324
2016,TIPPERARY,NOV,BEEF,2522
2016,TIPPERARY,NOV,DAIRY,674
2016,TIPPERARY,OCT,BEEF,3128
2016,TIPPERARY,OCT,DAIRY,722
2016,TIPPERARY,SEP,BEEF,3487
2016,TIPPERARY,SEP,DAIRY,639
2016,WATERFORD,APR,BEEF,8071
2016,WATERFORD,APR,DAIRY,2373
2016,WATERFORD,AUG,BEEF,1490
2016,WATERFORD,AUG,DAIRY,212
2016,WATERFORD,DEC,BEEF,679
